Name,SpotifyID,Similar Artists
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,
Charley Crockett,3BJX1nYizKvWpZTY5HOAr4,
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,
Rose City Band,4TysFpMssaAsBomBur7jpK,
Cut Worms,2upjmNmngAXZcra9dQRR2l,
John Mayer,0hEurMDQu99nJRq8pTxO14,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,
Wooden Shjips,35rFgnhlSSYflP4HpC3JM0,
Patsy Cline,7dNsHhGeGU5MV01r06O8gK,
Delicate Steve,1bNgeTuV3MlkAq64Ybvcq5,
Black Market Karma,1lbkSAoynPSO7OQOFSOdon,
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,
Beach House,56ZTgzPBDge0OvCGgMO3OY,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,
Boogarins,0ohvsn0lgt51qZUbu9ct4s,
Eagles,0ECwFtbIWEVNwjlrfc6xoL,
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,
bdrmm,4Cx5LnF4WNJIn9SSqyeq9C,
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,
Paul McCartney,4STHEaNw4mPZ2tzheohgXB,
Ofege,05LK9pT8ScfWNT0UbDsyqe,
Gene Clark,040Bv6cZTRh30LyyYVXgJX,
Abdallah Oumbadougou,29uudPDBxe9VchRED2cfD6,
Causa Sui,1TAcaMoUlvLpTUzh18TzDY,
Genesis,3CkvROUTQ6nRi9yQOcsB50,
Clarence Carter,7lffJlv0nRl0sIsHDmo0SB,
Orions Belte,3Kzo2BzQIPQW0397gx9rRp,
Josh Turner,7vCtweS8UVAXTyau2j0rDT,
Tedeschi Trucks Band,2gFsmDBM0hkoZPmrO5EdyO,
