Name,SpotifyID,MBID,Similar Artists
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,87b9b3b8-ab93-426c-a200-4012d667a626,
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,
Charley Crockett,3BJX1nYizKvWpZTY5HOAr4,cf391be8-a609-4fcf-8de1-0eff6b639ae5,
Khruangbin,2mVVjNmdjXZZDvhgQWiakk,aea4c9b9-9f8d-49dc-b2ca-57d6f26e8634,
Rose City Band,4TysFpMssaAsBomBur7jpK,5c0fd749-09f8-4ece-b489-364fa10fe202,
Cut Worms,2upjmNmngAXZcra9dQRR2l,c3552e38-d7a7-4dd8-a0a2-c5cdb63a1e8f,
John Mayer,0hEurMDQu99nJRq8pTxO14,144ef525-85e9-40c3-8335-02c32d0861f3,
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,164f0d73-1234-4e2c-8743-d77bf2191051,
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,72359492-22be-4ed9-aaa0-efa434fb2b01,
Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,06fb1c8b-566e-4cb2-985b-b467c90781d4,
Wooden Shjips,35rFgnhlSSYflP4HpC3JM0,3754dc74-381e-4237-bd44-65f5600a4d88,
Patsy Cline,7dNsHhGeGU5MV01r06O8gK,ad82dd72-0df3-4a09-8d7a-1af9c9e80522,
Delicate Steve,1bNgeTuV3MlkAq64Ybvcq5,Service Unavailable,
Black Market Karma,1lbkSAoynPSO7OQOFSOdon,de86014b-f68b-4be0-b568-3069995e7327,
Steely Dan,6P7H3ai06vU1sGvdpBwDmE,e01c3376-15fa-40d7-b747-5f219bdefdd7,
Beach House,56ZTgzPBDge0OvCGgMO3OY,d5cc67b8-1cc4-453b-96e8-44487acdebea,
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,8bfac288-ccc5-448d-9573-c33ea2aa5c30,
Boogarins,0ohvsn0lgt51qZUbu9ct4s,46713d05-4143-4704-a9c3-71b482a13944,
Eagles,0ECwFtbIWEVNwjlrfc6xoL,f46bd570-5768-462e-b84c-c7c993bbf47e,
Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,
bdrmm,4Cx5LnF4WNJIn9SSqyeq9C,0892e729-9af9-4746-8534-73cd0586347a,
Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,1ee18fb3-18a6-4c7f-8ba0-bc41cdd0462e,
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,83d91898-7763-47d7-b03b-b92132375c47,
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,614e3804-7d34-41ba-857f-811bad7c2b7a,
